book_title,book_author,book_translator,book_pub_date,book_isbn
스프링을 이용한 RESTful 웹 서비스 구축하기 : 실전 예제로 배우는 REST 방식의 스프링 웹 서비스,김강우 ,,2014-02-27,9788968486890
"Blog2Book, 프로젝트 관리자PM를 위한 프로젝트 관리 이야기",신진현 ,,2015-02-27,9788968481048
훌륭한 프로그래머 되는 법 : 프로젝트와 팀을 성공으로 이끄는 선배 개발자의 노하우,피트 구들리프 ,"최원재 , 강전희 , 안재덕 , 남윤화 ",2015-12-04,9788968482304
"Head First PMP : 체계적인 프로젝트 관리를 위한 국제 공인 학습법 (개정3판, PMBOK® 지침서 5판 시험대비용)","제니퍼 그린 , 앤드류 스텔만 ","한동환 , 김기평 ",2014-09-12,9788968481154
Head First HTML with CSS & XHTML : 웹2.0 시대의 웹 표준 학습법,"에릭 프리먼 , 엘리자베스 프리먼 ",홍형경 ,2006-05-28,8979144105
Head First Design Patterns: 스토리가 있는 패턴 학습법,"에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",서환수 ,2005-08-22,8979143400
"Blog2Book, 프로젝트 성패를 결정짓는 데이터 모델링 이야기",김상래 ,,2015-09-17,9788968482212
"IT CookBook, 윈도우 프로그래밍 : Visual C++ MFC Programming(개정판)","김선우 , 신화선 ",,2014-02-19,9788998756888
뇌를 자극하는 윈도우즈 시스템 프로그래밍,윤성우 ,,2007-03-28,9788979144611
"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 ,,2014-11-27,9791156641421
"프로그래밍 면접, 이렇게 준비한다(3판)","존 몽건 , 에릭 기게리 , 노아 수요야넨 킨들러 ",서환수 ,2014-02-28,9788968480843
"IT CookBook, 패턴인식 개론(개정판)",한학용 ,,2014-02-28,9791156641032
게임 매니악스 퍼즐 게임 알고리즘,"마츠우라 켄이치로 , 츠카사 유키 ",김병국 ,2013-12-19,9788968480706
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ",,2015-08-17,9791156641964
Head First JavaScript Programming : 게임과 퍼즐로 배우는 자바스크립트 입문서,"에릭 프리먼 , 엘리자베스 롭슨 ",강권학 ,2015-01-27,9788968481567
나는 프로그래머다,임백준외 6명 ,,2004-03-16,8979142749
